game_appid,game_name,total_review,total_review_positive,eng_review,eng_review_positive,released_date,early_access_release_date
1530750,EVERSLAUGHT,333,62,289,59,20210731000000,20210731000000
1588010,PGA TOUR 2K23,4664,75,5333,74,20221014000000,
320320,Darkstone,444,78,343,76,19990731000000,
201210,Pox Nora,852,76,598,76,20141015000000,
248800,Dysfunctional Systems: Learning to Manage Chaos,628,75,656,74,20130404000000,
363950,Windscape,168,63,210,55,20190327000000,
887450,Tunche,587,74,236,67,20211102000000,
696370,BROKE PROTOCOL,3168,74,1145,69,20240626000000,20170826000000
1924780,Arzette: The Jewel of Faramore,670,97,780,97,20240213000000,
915670,Everreach: Project Eden,398,48,362,48,20191204000000,
1557480,Project MIKHAIL: A Muv-Luv War Story,679,55,215,63,20240426000000,20211101000000
11040,Sherlock Holmes - Nemesis,565,72,308,66,20080414000000,
1401590,Disney Dreamlight Valley,18550,91,14842,91,20231205000000,20220906000000
718670,Cultist Simulator,9174,82,7101,76,20180531000000,
1506440,Batora: Lost Haven,187,75,222,62,20221020000000,
2181930,DR LIVESEY ROM AND DEATH EDITION,11972,94,1743,91,20230213000000,
274310,Always Sometimes Monsters,1371,79,2024,74,20140521000000,
73210,Sengoku,369,62,288,59,20110915000000,
1163550,Captain Tsubasa: Rise of New Champions,4237,71,1433,69,20200928000000,
1184160,RUSSIAPHOBIA,5340,69,1705,69,20201225000000,
2996040,Teenage Mutant Ninja Turtles: Splintered Fate,1631,81,1231,83,20241106000000,
386360,SMITE,119795,78,67942,77,20150908000000,
695600,This Grand Life,217,75,204,75,20180417000000,
372800,RPG MO,2902,78,1527,74,20150818000000,
243000,Omikron: The Nomad Soul,393,67,445,64,19991102000000,
343100,Overture,565,72,779,73,20150101000000,
1040070,Merchant of the Skies,1410,87,1303,86,20200417000000,20190730000000
471010,Seven: Enhanced Edition,1337,76,983,73,20171201000000,
599460,Weapon Shop Fantasy,1502,79,291,77,20170226000000,
1147940,3dSen PC,400,91,300,90,20200619000000,20200619000000
2056210,LONESTAR,1794,91,718,90,20250403000000,20240118000000
369440,Immortal: Unchained,695,64,426,65,20180907000000,
469920,hackmud,731,79,736,79,20160922000000,
505460,Foxhole,39323,83,27722,82,20220928000000,20170727000000
501180,Acan's Call: Act 1,370,82,279,82,20160811000000,
1663640,The Last Oricru - Final Cut,481,69,329,69,20221013000000,
386590,Novus Inceptio,1061,51,871,50,20151005000000,
1997660,GreedFall II: The Dying World,395,55,301,55,20240924000000,20240924000000
927350,Hood: Outlaws & Legends,7686,47,4746,46,20210510000000,
1608290,GNOSIA,3003,93,621,93,20220123000000,
770100,One Deck Dungeon,725,81,664,78,20180518000000,
1314000,Achilles: Legends Untold,1509,79,716,79,20231102000000,20220512000000
840260,Endless World Idle RPG,4242,77,1328,73,20190826000000,
555570,Infestation: The New Z,33811,53,10818,45,20161122000000,
39200,Dungeon Siege II,2422,75,1422,73,20050816000000,
938860,"Get In The Car, Loser!",91,96,398,83,20210921000000,
215280,Secret World Legends,9057,67,6561,66,20170731000000,
48220,Might & Magic: Heroes VI,8179,46,4073,38,20111013000000,
23500,Puzzle Quest: Galactrix,304,49,259,45,20090224000000,
489520,Minion Masters,64902,89,24390,87,20190524000000,
438420,Zenith,399,72,271,59,20160920000000,
338540,Navy Field 2 : Conqueror of the Ocean,1390,44,703,40,20150305000000,
1592360,Kitten Burst,300,99,315,98,20240120000000,20220902000000
235340,Prime World,3784,58,831,46,20140331000000,
372000,Tree of Savior (English Ver.),20310,64,10315,58,20160328000000,
1173780,FINAL FANTASY II,2458,80,1820,79,20210728000000,
489220,Unforgiving Trials: The Darkest Crusade,56,73,200,56,20160615000000,
1289380,Sheltered 2,1894,46,745,50,20210921000000,
779290,Stygian: Reign of the Old Ones,1748,66,910,64,20190926000000,
1222800,VALKYRIE CONNECT,1088,74,472,69,20200402000000,
1252600,ANOTHER EDEN,1865,69,975,69,20210330000000,
675560,NAVYFIELD,734,67,239,60,20000318000000,
343750,Firefly Online Cortex,659,41,576,42,20150129000000,
344190,Immortal Empire,306,72,212,72,20151203000000,
1340180,Sherwood Extreme,20,100,251,78,20240429000000,20210512000000
638650,Sword Art Online Re: Hollow Fragment,1774,78,806,80,20180820000000,
422810,River City Ransom: Underground,2023,76,1317,72,20170227000000,
311720,Sproggiwood,317,79,477,79,20141024000000,
442080,Riders of Icarus,10728,66,5346,59,20160706000000,
46410,Avencast: Rise of the Mage,291,76,344,67,20100317000000,
1369630,ENDER LILIES: Quietus of the Knights,37194,93,10465,95,20210621000000,20210120000000
1926090,Coreborn,508,64,234,57,20240619000000,20230718000000
346110,ARK: Survival Evolved,548179,84,318805,80,20170827000000,
509580,The Lord of the Rings: Adventure Card Game - Definitive Edition,1155,76,995,72,20190829000000,20171209000000
496730,Sorcerer King: Rivals,251,64,323,62,20160922000000,
1815570,Aces & Adventures,1979,90,910,86,20230223000000,
516510,Orake Classic,634,70,476,71,20160813000000,
70420,Chantelise - A Tale of Two Sisters,630,75,551,74,20110729000000,
349500,Cubicle Quest,550,74,327,77,20150225000000,
600120,Life Forge - Reborn ORPG,356,68,275,70,20170317000000,
311480,Vertical Drop Heroes HD,149,77,402,76,20140725000000,
746930,OrbusVR: Reborn,1195,76,1050,75,20190423000000,
466660,Stash,668,66,569,68,20170907000000,
386280,Vendetta - Curse of Raven's Cry,265,45,326,46,20151120000000,
1072640,Beat Blast,381,89,268,87,20210825000000,20200814000000
1600370,Not Tonight 2,359,81,240,77,20220211000000,
376310,Otherland MMO,685,40,479,42,20150910000000,
216910,Of Orcs And Men,1482,75,1011,70,20121011000000,
681390,ZomDay,763,85,463,85,20200327000000,
2017610,CORPUS EDAX,190,75,209,77,20240905000000,
566540,Labyrinth of Refrain: Coven of Dusk,1158,79,578,80,20180918000000,
219340,The Banner Saga: Factions,841,74,564,74,20130225000000,
1062040,Dragon Star Varnir,422,77,206,78,20191008000000,
331440,bit Dungeon II,1403,83,1248,78,20141215000000,
585450,Shadows: Awakening,1482,75,1202,76,20180831000000,
658970,CasinoRPG,296,62,227,59,20180116000000,
421170,Indivisible,2306,72,1956,71,20191008000000,
1416260,SpellForce 3: Versus Edition,1505,75,605,74,20201103000000,
263320,Saturday Morning RPG,316,78,385,75,20140129000000,
1116550,Elon Simulator 2019,489,82,242,85,20191018000000,20190731000000
1403370,Zenith: The Last City,4489,67,3527,65,20220127000000,20220127000000
1179680,Wurm Online,2329,62,1670,61,20121212000000,
1832040,Flintlock: The Siege of Dawn,795,75,557,77,20240717000000,
294370,Crowntakers,381,75,402,67,20141107000000,
552700,WORLD OF FINAL FANTASY,2712,77,1597,75,20171121000000,
662210,Metal as Phuk,232,95,231,95,20170713000000,
289090,Ampu-Tea,814,67,908,55,20140530000000,
