game_appid,game_name,total_review,total_review_positive,eng_review,eng_review_positive,released_date,early_access_released_date
570,Dota 2,2496885,81,784666,88,20130709000000,
2358720,Black Myth: Wukong,834272,96,75389,94,20240820000000,
1086940,Baldur's Gate 3,669069,96,455835,96,20230804000000,20201007000000
413150,Stardew Valley,754862,98,417317,98,20160227000000,
292030,The Witcher 3: Wild Hunt,761434,96,240363,96,20150518000000,
1245620,ELDEN RING,764551,92,529344,93,20220225000000,
1091500,Cyberpunk 2077,747377,85,357621,87,20201210000000,
230410,Warframe,618954,87,269182,91,20130326000000,
1794680,Vampire Survivors,237342,98,128064,98,20221021000000,20211217000000
582010,Monster Hunter: World,296928,89,163726,91,20180809000000,
1145360,Hades,258223,98,141193,98,20200917000000,20191211000000
1903340,Clair Obscur: Expedition 33,69286,95,54397,97,20250424000000,
391540,Undertale,242334,96,154783,96,20150915000000,
1687950,Persona 5 Royal,68280,96,31963,96,20221021000000,
108600,Project Zomboid,284939,94,166259,93,20131108000000,
2161700,Persona 3 Reload,28726,95,21018,96,20240202000000,
646570,Slay the Spire,157329,97,79544,97,20190124000000,
1150690,OMORI,72070,97,56163,97,20201225000000,
1113000,Persona 4 Golden,65269,97,49867,97,20200614000000,
2679460,Metaphor: ReFantazio,19616,91,15787,94,20241011000000,
1868140,DAVE THE DIVER,116419,97,46678,96,20230628000000,20221027000000
306130,The Elder Scrolls® Online,127547,82,83282,81,20140404000000,
1488200,Symphony of War: The Nephilim Saga,11385,94,7422,94,20220611000000,
377160,Fallout 4,261516,83,238605,82,20151110000000,
1718570,ASTLIBRA Revision,25740,95,2932,95,20221013000000,
489830,The Elder Scrolls V: Skyrim Special Edition,188887,94,199498,91,20161028000000,
261550,Mount & Blade II: Bannerlord,204789,87,105256,86,20221025000000,20200330000000
1462040,FINAL FANTASY VII REMAKE INTERGRADE,31358,88,17873,87,20220617000000,
632470,Disco Elysium - The Final Cut,101354,93,55044,92,20191016000000,
812140,Assassin's Creed® Odyssey,156204,89,57341,89,20181006000000,
1584090,Touhou Mystia's Izakaya,24374,98,3267,98,20211001000000,20210616000000
2026000,Our Adventurer Guild,1739,96,1255,95,20240413000000,20230531000000
1286830,STAR WARS™: The Old Republic™,67615,89,47481,90,20111220000000,
1669980,Volcano Princess,38779,97,2568,95,20230421000000,
2446600,Dark Deity 2,963,94,885,94,20250324000000,
262060,Darkest Dungeon®,129394,91,61725,90,20160119000000,
219990,Grim Dawn,83711,93,45655,95,20160226000000,
582160,Assassin's Creed® Origins,104586,85,34374,83,20171027000000,
898750,Super Robot Wars 30,5277,86,1718,94,20211028000000,
1585180,Drova - Forsaken Kin,6666,95,3991,94,20241015000000,
524220,NieR:Automata™,103894,88,58707,89,20170318000000,
1527950,Wartales,26624,89,12242,87,20230412000000,20211202000000
570940,DARK SOULS™: REMASTERED,83294,91,58321,91,20180524000000,
1145350,Hades II,59913,94,36458,97,20240507000000,20240507000000
2186680,"Warhammer 40,000: Rogue Trader",21518,84,17702,84,20231208000000,
200210,Realm of the Mad God Exalt,46592,83,32007,81,20120221000000,
1973530,Limbus Company,62197,83,25505,92,20230227000000,
1203620,Enshrouded,69548,86,40354,87,20240124000000,20240124000000
1157390,King Arthur: Knight's Tale,6082,83,3371,84,20220427000000,20210126000000
1446780,MONSTER HUNTER RISE,70796,83,46657,85,20220113000000,
379430,Kingdom Come: Deliverance,123495,83,73185,83,20180213000000,
1295510,DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,8647,93,3840,92,20201205000000,
1771300,Kingdom Come: Deliverance II,75689,93,49317,93,20250205000000,
552500,Warhammer: Vermintide 2,85267,84,63558,89,20180308000000,
1217060,Gunfire Reborn,84900,93,41486,96,20211118000000,20200505000000
1436990,Feign,4172,91,240,82,20211023000000,20211023000000
1158310,Crusader Kings III,80204,91,59801,90,20200902000000,
2725260,ENDER MAGNOLIA: Bloom in the Mist,12453,95,3403,97,20250122000000,20240325000000
397540,Borderlands 3,115880,84,70752,82,20200313000000,
2135150,Elin,5928,93,2515,96,20241101000000,20241101000000
1850510,TRIANGLE STRATEGY,2555,80,1400,79,20221014000000,
2993780,FANTASY LIFE i: The Girl Who Steals Time,4967,92,3285,95,20250521000000,
881020,Granblue Fantasy: Relink,35547,89,11323,92,20240201000000,
1244090,Sea of Stars,9908,88,6890,90,20230829000000,
1669000,Age of Wonders 4,13372,82,11125,82,20230503000000,
527230,For The King,29365,87,16046,89,20180420000000,
1562430,DREDGE,36877,95,29882,96,20230331000000,
368260,Marvel's Midnight Suns,15068,82,14577,82,20221202000000,
1284210,Guild Wars 2,21457,88,14009,88,20220824000000,
2623190,The Elder Scrolls IV: Oblivion Remastered,44163,81,41882,82,20250423000000,
2072450,Like a Dragon: Infinite Wealth,13341,91,8791,92,20240126000000,
1627720,Lies of P,38379,91,24791,93,20230918000000,
2429860,Living With Sister: Monochrome Fantasy,9983,96,802,94,20240323000000,
851850,DRAGON BALL Z: KAKAROT,41169,93,21317,92,20200117000000,
454650,DRAGON BALL XENOVERSE 2,39757,90,22772,89,20161028000000,
1971650,OCTOPATH TRAVELER II,10785,94,4792,94,20230225000000,
728530,SD GUNDAM G GENERATION CROSS RAYS,6679,83,2264,89,20191128000000,
1643320,S.T.A.L.K.E.R. 2: Heart of Chornobyl,85941,81,47377,77,20241121000000,
2495450,Winter Memories,8890,97,491,95,20240106000000,
268500,XCOM® 2,73698,85,57747,85,20160205000000,
1235140,Yakuza: Like a Dragon,24888,94,17587,95,20201111000000,
2384580,DYNASTY WARRIORS: ORIGINS,13913,92,3929,92,20250117000000,
2407270,AI LIMIT,13789,93,2213,93,20250327000000,
3061810,Like a Dragon: Pirate Yakuza in Hawaii,4325,91,3913,92,20250221000000,
1325200,Nioh 2 – The Complete Edition,30685,88,13621,90,20210205000000,
1210320,Potion Craft: Alchemist Simulator,31573,92,16341,92,20221214000000,20210922000000
2680010,The First Berserker: Khazan,11554,89,8757,93,20250328000000,
1876890,Wandering Sword,26437,94,1809,96,20230915000000,
1227890,Summer Memories,20767,92,1250,88,20200615000000,
1282100,REMNANT II®,40782,83,34394,85,20230726000000,
1545560,Shadow Gambit: The Cursed Crew,3901,92,1875,91,20230818000000,
2103140,Magicraft,12103,91,2783,96,20241102000000,20231102000000
1072420,DRAGON QUEST BUILDERS™ 2,6147,92,1972,89,20191211000000,
629820,Maneater,13363,89,8063,89,20210525000000,
3373660,Look Outside,2277,99,1985,99,20250321000000,
599140,Graveyard Keeper,34903,86,20076,84,20180816000000,
617290,Remnant: From the Ashes,43492,85,27720,86,20190820000000,
2420110,Horizon Forbidden West™ Complete Edition,15091,89,11623,89,20240321000000,
2322010,God of War Ragnarök,20016,87,13843,88,20240920000000,
