game_appid,game_name,review_id,author_steam_id,author_num_games_owned,author_reviews_count,author_playtime_forever,author_playtime_last_two_week,author_playtime_at_review,author_last_played_time,review_language,review_text,review_created_time,review_updated_time,b_game_recommendation,review_recommendation_count,review_funny_count,review_weighted_rating_score,review_comment_count,b_author_steam_purchase,b_author_received_for_free,b_review_written_during_early_access,b_primarily_steam_deck
570,Dota 2,195894564,76561199012813565,0,1,202295,4013,202295,1748525075,english,"your pitiful policies of cant keeping scripting lowborns out of this game is another reason why this game is going hollow, good luck in the future.",1748525214,1748525214,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195891873,76561199507089843,22,2,990,26,968,1748525627,english,kiri hast,1748522463,1748522463,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195888106,76561199093863102,56,1,1120,0,1120,1729682195,english,เกมโง่ชิบหาย,1748518293,1748518293,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195887413,76561198102708296,0,1,413913,6907,413792,1748525034,english,"match making sucks 
",1748517574,1748517574,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195885625,76561198291485206,0,3,428834,0,428834,1733933337,english,ruins,1748515614,1748515614,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195885415,76561199842338600,0,1,309,309,309,1748167230,english,Complicated game. May be best for nerds.,1748515391,1748515391,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195884654,76561199635913536,0,1,54842,6,54835,1748517590,english,50% залупа,1748514583,1748514583,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195880823,76561198205629720,7,3,167692,358,167650,1748513022,english,DONT DESTROY YOUR LIFEEEEE,1748510483,1748510483,False,0,0,0.5,0,False,True,False,False
570,Dota 2,195869253,76561198237362006,0,4,29735,5507,29676,1748496977,english,"Fuck this game. Absolutely not new player friendly thanks to matchmaking, and I'm glad that this game is on the decline in popularity because of it. I hope the Russian dipshits that pollute this game run it into the ground. I wasted almost 500 hours which i could have used to spend on my finals project for my Masters. If you have at least 10 hours a day to improve your skills, thats enough to become decent, but also fucking pathetic. Enjoy your diapers, you drooling slavic morons.",1748492223,1748492561,False,1,0,0.5,0,False,False,False,False
570,Dota 2,195867089,76561198075894647,0,1,662161,2106,662130,1748488855,english,"Bad community , depend on other players , bad support team who doesnt care about players opinion.",1748488394,1748488394,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195850552,76561197960452475,1012,35,13835,0,13835,1678308189,english,"We should all stop spending money on games we have no control over and don't actually own.

Disable Steam cookies @ [url]https://store.steampowered.com/account/cookiepreferences[/url]
Check out the Stop Killing Games initiative @ [url]https://www.stopkillinggames.com[/url]",1748464854,1748464854,False,0,0,0.454545468091964722,0,False,False,False,False
570,Dota 2,195846682,76561198287066765,0,1,37650,2079,37207,1748525764,english,asd,1748460679,1748460679,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195839872,76561199440638517,14,13,65380,0,65380,1738688513,english,"If you'll think that this game is masterpiece you're dead wrong cause in this game you just waist your fckn time, this game simply stole my free time and for realizing that this game is shit you soul'd play in that even 500 hours i swear, better then all just never launch this game, save your mental health and time brother",1748453324,1748460849,False,1,0,0.523809552192687988,0,False,False,False,False
570,Dota 2,195838507,76561198017782695,79,1,361152,1895,361104,1748455157,english,"This game is still in beta :) Getting crashes every second day, because of some stupid pak01 corrupted file. All guides saying i should downclock my RAMs, but maybe fix your game VALVE how about that? I have Rtx4080 and AMD 7800x3d",1748451835,1748451835,False,0,0,0.476190477609634399,0,False,False,False,False
570,Dota 2,195836570,76561199691122973,0,1,9399,1063,9290,1748456460,english,срал габену в уши,1748449790,1748449790,False,0,0,0.476190477609634399,0,False,False,False,False
570,Dota 2,195825939,76561198305362443,1,1,256947,3399,256608,1748523586,english,full of shit,1748438585,1748438585,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195820157,76561198072496047,31,2,518609,0,518609,1741526108,english,cringe dog game,1748431259,1748431259,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195819663,76561199014781954,0,1,72386,1162,72386,1748417433,english,never start playing this,1748430487,1748430487,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195819378,76561198960332021,34,2,58388,5757,58388,1748411123,english,Cancer Game shit matchmaking. Have a system of Behaviour and Communication rating which is a new way of controlling freedom of speech. Write anything and you are loosing the rating so fast that you can't do shit. 90% of items are un-marketable or un-tradeable.  Do random shit in the name of new patches. Absolute shit-show.,1748430033,1748430033,False,0,0,0.5,2,False,False,False,False
570,Dota 2,195816793,76561198050865113,0,57,1682,0,1682,1642122816,english,Dogshit game,1748425875,1748425875,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195813586,76561198125834675,0,1,99692,0,99692,1582746071,english,refund,1748420338,1748420338,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195813493,76561198301166927,0,4,9770,1194,9043,1748515854,english,k,1748420150,1748420150,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195811657,76561198992608426,24,1,157749,6849,157337,1748519334,english,"“A game that's super addictive and toxic, it makes me sick, but when I wake up, it’s the first thing I play. All day, I end up cursing myself and everyone else for ever installing this trash.”",1748416658,1748416658,False,1,0,0.523809552192687988,1,False,False,False,False
570,Dota 2,195810101,76561198863316265,2,1,216828,359,216693,1748421606,english,ang tatatanga ng mga pinoy sa dotados bwct,1748413483,1748413483,False,0,0,0.5,0,False,True,False,False
570,Dota 2,195803999,76561199594900240,0,1,61761,3916,61149,1748472566,english,ridid,1748402345,1748402345,False,1,0,0.520547926425933838,0,False,False,False,False
570,Dota 2,195798343,76561198004409118,0,5,159584,1293,159490,1748484925,english,"I haven't put enough hours into the game yet, but so far, I'm not sure if I'd recommend it. I'll give it more time and come back if I think it's worth it.",1748393412,1748393412,False,1,1,0.51827239990234375,0,False,True,False,False
570,Dota 2,195795162,76561198157492933,0,1,12330,3762,11695,1748481022,english,"I'm playing Dota for 10+ years and last few months it started to lag af on M1 Pro MacBook, game just freezes for 1-2 minutes, but unfreeze when you swipe screen, but freezes again when going to game screen, lost a lot of games coz of that sht",1748388554,1748388554,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195794384,76561199805425615,0,1,13498,464,13481,1748497838,english,"Sold my soul for this game and I’m pretty sure I’ve picked up a touch of Stockholm Syndrome. Whenever I uninstall, my Steam library quietly mutters, “C’mon, just one more match.” On the bright side, I only sob after three straight losses now instead of two. Please send help and a new mouse; mine took flight and didn’t stick the landing. 0/10, would 100 percent get hooked again (let’s keep that off the record).",1748387397,1748387397,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195789801,76561199537324692,24,2,3015,0,3015,1708638787,english,No.,1748381247,1748381247,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195788695,76561198099633382,0,3,266119,949,266007,1748467382,english,"50 % of players are smurfs in turbo since 2023, and valve gives a shit about that.",1748379998,1748379998,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195787150,76561198966883348,150,2,63697,445,63697,1748342624,english,"вася гей
",1748378208,1748378208,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195786349,76561198310564041,0,1,152378,2530,151395,1748523848,english,"Fuck you valve, this game getting trash and trash",1748377287,1748377287,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195782166,76561199586395229,2,1,58923,4255,58508,1748467823,english,"This game is completely unbalanced. I'm always being joined by friends who don't know how to play. My rank is going down. Fix the balance. It's really bad like this. But anyway, the best game I've ever seen on Steam",1748372831,1748372920,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195781027,76561199083034501,0,1,82343,394,82226,1748461029,english,"не тратьте жизнь братья
",1748371672,1748371672,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195778268,76561199157697038,24,1,61900,1172,61900,1748354681,english,полная хуита,1748368760,1748368760,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195772678,76561198298061194,0,2,279525,2597,279307,1748450601,english,dont,1748363007,1748363007,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195772670,76561198083890383,0,2,116779,1237,116704,1748366794,english,"game tidak ramah, banyak role abuser, toxic, orang egois",1748362997,1748362997,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195770208,76561198125045939,0,14,63636,1406,63430,1748472685,english,Game keep Crashing then cooldown you because you leave the match cause their game sucks,1748360478,1748360478,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195770040,76561198083627345,1,1,171559,273,171459,1748524235,english,Just run. Dont press play.,1748360289,1748360289,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195769920,76561198095132236,0,2,18084,3144,18084,1748359842,english,"Don't play this shit — their idiotic ""politeness"" system just disables the in-game chat, and the ""smart and responsive"" teammates only add to the joy of the experience. And don’t forget about the ""penalty"" system: if you decide the current match is just a waste of time and don’t feel like watching your team get humiliated for another 30 minutes, you’ll be punished for leaving — and won’t be able to play again until you’ve ""paid your debt."" It doesn’t matter whether you’ve paid for a subscription or not.",1748360172,1748360172,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195769425,76561199577224721,0,1,62153,2239,61698,1748513748,english,DOTA2 KEEPS ON DC LIKE 50 TIMES IN A DAY FOR 5 GAMES,1748359688,1748359688,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195767520,76561198008652514,615,1,269123,1597,268571,1748523440,english,Unbelievable toxic community if you are in the lower ranks. Moderation does nothing. Language filtering does nothing. Enjoyable if you simply mute everyone.,1748357663,1748357663,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195766664,76561198795689490,0,1,101201,243,101131,1748359708,english,"I HOPE U DIE FUCKING DEVELOPER WHO EVER WROTE PATCH 7.39 NEW FEATURES HOPE U DIE CHOPING ON UR BOYFRIENDS C0CK
GODDAMN 1 IQ FK WAD",1748356735,1748356735,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195754063,76561198215731492,0,7,12475,0,12475,1660619511,english,ded,1748339930,1748339930,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195752762,76561198361123392,6,2,90973,690,90283,1748524266,english,"стрип клуб блек лист, пацанчики

",1748337617,1748337646,False,0,0,0.5,0,False,True,False,False
570,Dota 2,195750479,76561198124986558,0,1,179756,6184,178372,1748515637,english,this game every update makes the game lag and crashing af,1748333540,1748333540,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195749945,76561199154963396,5,1,62938,2954,62689,1748515268,english,"kir to namos sazandash kir to dahan developerash
",1748332723,1748332723,False,1,0,0.523809552192687988,3,False,True,False,False
570,Dota 2,195748154,76561197971993513,0,11,119917,700,119917,1748328976,english,"I tried to pick it back up because by all rights it is an excellent game. I don't think I would have played almost 2k hours if it wasn't. However, without a strict region lock you end up in lobbies with SA and Asia that cannot communicate with you and more often than not grief the game when things do not go their way.It is a real shame, I just cannot bring myself to play it anymore. It's just a miserable experience. Maybe I will when I can place a personal region lock on the US or something.",1748329229,1748329385,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195746318,76561198099424404,0,11,274,0,274,1503249700,english,Steam won't let me remove it from my library 👺,1748325805,1748325805,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195744320,76561198097634108,0,1,41766,1788,41075,1748504117,english,toxic player,1748321895,1748321895,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195742523,76561198833040160,0,1,211317,3264,210403,1748516380,english,damn this recent update got so many freeze and crashes. abandon again!!,1748318844,1748318844,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195736400,76561199556663302,33,2,61219,1697,60444,1748494001,english,toxic cummunity of the year,1748309261,1748309261,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195732051,76561198978524725,0,2,129748,15030,127289,1748525403,english,dont play this stupid game full of russians.,1748302625,1748302625,False,1,0,0.514925360679626465,0,False,False,False,False
570,Dota 2,195731422,76561198065688201,12,1,762868,4341,761073,1748464216,english,"
3",1748301724,1748301724,False,1,0,0.523809552192687988,0,False,False,False,False
570,Dota 2,195723159,76561199695996816,0,11,278,17,278,1747402122,english,"Как в это можно играть ? Не думаю что нормальные люди рискнут на это , ну кроме гулей и жирных цистерн",1748291498,1748291498,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195721993,76561199067865054,0,1,123614,629,123333,1748466450,english,full of pathetic people,1748290256,1748290256,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195717166,76561198125828307,8,2,188794,291,188684,1748292635,english,bugging,1748285552,1748285552,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195717151,76561198126086195,0,1,155079,4346,154047,1748501491,english,never play,1748285540,1748285540,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195716654,76561198078281730,15,2,427282,5430,426261,1748520101,english,don't do it,1748285046,1748285046,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195716178,76561198160319608,0,1,184962,3523,184962,1748284123,english,too much toxic people,1748284660,1748284660,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195714997,76561198339108734,1,1,388619,4194,388094,1748463840,english,ruined my life,1748283535,1748283535,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195713450,76561198045464562,0,4,151013,593,150739,1748386049,english,"Worst matchmaking system in the human history!!!!!!!!!!!
1 month without being able to win a single match",1748282106,1748282106,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195713075,76561198211338003,0,1,150083,123,149959,1748309867,english,Waste of life,1748281784,1748281784,False,1,0,0.523809552192687988,0,False,False,False,False
570,Dota 2,195709160,76561199484248504,2,1,101450,2782,100847,1748480769,english,Worst matchmaking system in the human history,1748278021,1748278021,False,1,0,0.52173912525177002,0,False,False,False,False
570,Dota 2,195704490,76561198038966896,0,1,22944,1635,22609,1748432834,english,"the ranked matchmaking is trashhhh!!!!!!!!!!!!!
",1748273409,1748273409,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195703877,76561198214744181,0,1,355054,3307,354520,1748524226,english,full of bugs morron,1748272858,1748272858,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195698338,76561198987025837,0,3,232,0,232,1675448861,english,".
",1748267628,1748267628,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195694668,76561198142492974,0,4,69134,5308,69134,1748263250,english,"Anyone that knows me knows I love a good MOBA - This ain't it. Although the mechanics and everything else is better than league, the player base unfortunately ain't. 1000 hours and however many matches and I have a communication score and behaviour score of -500.. A week wasted because of trolls, AFK'rs, feeders, role stealers, bullies, out right ignorant people  and generally bad players that have me screaming at the top of my voice. Get this shit out of here. Complete fucking garbage of a community with some of the worst players I've had the misfortune of playing with. Avoid it like the plague or go play league. I also dont like the fact that a lot of information like how many reports you get and stuff are buried behind a lot of menus you have to route for and the report system is WAYYYY to open for a conflict of a interest. Just constantly losing points even though you're playing the game. Hate the Abandon system too and how its tied to XP. Just too much. GFYS with this one. Nasty stuff. 

PS: It's a good job i played your card game before this otherwise you wouldn't have got my money.",1748263704,1748264292,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195694250,76561198210664279,101,3,219807,39,219807,1747655618,english,не цепляет,1748263256,1748263256,False,0,0,0.476190477609634399,0,False,False,False,False
570,Dota 2,195694095,76561198834030581,26,5,37621,3269,36952,1748463845,english,smurfs and cheaters and account buyers in all ranks. Not worth the trouble.,1748263074,1748263183,False,1,1,0.494699656963348389,0,False,False,False,False
570,Dota 2,195692665,76561198417253018,2,1,138558,1593,138453,1748408342,english,BEING ABANDON in game.. not sync my steam even im online and already playing. keeps my log out of the game dorce me to restart steam,1748261571,1748261571,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195692355,76561198156585297,0,1,342222,1310,341871,1748349960,english,toxic!,1748261190,1748261190,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195692065,76561198836360594,2,1,152796,1384,152726,1748264534,english,Fix your game valve every time you make a major patch the game server crashes,1748260849,1748260849,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195688584,76561198129707146,0,1,165750,680,165393,1748512063,english,"No, I dont recoomand this game. 
You can NOT enjoy this game anymore. 
Rank sistem is wrong... 
You get angry when plat this game..
So, DONT PLAY THIS GAME .

thanks me later for this.",1748256207,1748256207,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195683555,76561198428937601,0,1,71401,1561,71343,1748251165,english,"valve doesnt make the teams equals, that its a very rare, usually put the best players in one team, and  the n00b ones in the other team,  very annoying, dont recommend this game.",1748247634,1748247634,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195683532,76561198884070895,11,2,1307,513,1018,1748465599,english,МЯУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУ,1748247602,1748247602,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195682576,76561199802058365,0,1,19121,4080,17721,1748525009,english,fuck you,1748245750,1748245750,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195670707,76561198090768662,25,6,360009,3609,359481,1748339118,english,.,1748227624,1748227624,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195666197,76561198160861448,17,1,121081,1276,120610,1748524635,english,I wasted 2000 hours of my life playing this shit and i come back everyday just to ruined my own sanity every damn game,1748220780,1748220780,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195664602,76561198114083143,34,1,425169,4623,424003,1748512867,english,this game sucks!,1748218380,1748218380,False,0,0,0.5,2,False,False,False,False
570,Dota 2,195663311,76561199232140450,22,1,120319,0,120319,1744833746,english,Хуита не играйте,1748216441,1748216441,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195660970,76561198068109622,0,2,158116,94,158072,1748215896,english,I would recommend going outside.,1748213228,1748213228,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195658461,76561199019581937,14,2,126,0,126,1746277609,english,"Помойка, но тут нашел батю",1748210136,1748210136,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195656745,76561198074316725,6,4,98795,1439,98491,1748521493,english,IF you want a game to play with or vs bots AND its like 8/10 matchs LIKE THAT. full of bots.. game is freaking dead. 10-12 mins to find a match and thats 3-4 bots in the game for sure.,1748208231,1748208231,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195655194,76561199576769390,3,1,202604,11207,199364,1748525541,english,fucking toxic russian animals ruin every game,1748206488,1748206488,False,0,0,0.476190477609634399,0,False,False,False,False
570,Dota 2,195653147,76561198003715344,63,3,375282,461,374945,1748524434,english,fuck the game crash and fuck the penalties,1748204381,1748204381,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195649392,76561198078247145,220,5,156204,633,155657,1748469497,english,"So, WE lost the game. Throne was destroyed. Servers lagged. It's just DISCONECT me from the leaving process. I pressed LEAVE the game which obviously finished. Got banned. Cant play. Counted like i LEFT the game. GG VALVE game code -  8307919598",1748200789,1748200789,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195648296,76561198063108881,0,2,88425,625,87840,1748463655,english,addictive game stay away,1748199754,1748199754,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195648187,76561199387696532,0,2,19112,1192,19112,1748199273,english,Shit,1748199649,1748199649,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195645479,76561199200937419,7,1,427180,9833,424894,1748524897,english,"
go live
",1748197086,1748197086,False,0,0,0.5,3,False,False,False,False
570,Dota 2,195645184,76561198012604910,291,1,513006,2041,512478,1748492529,english,This game is like an abusive ex that i pay child support to for sick drip.,1748196806,1748196806,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195641825,76561199357183285,13,1,128044,0,128044,1744411744,english,дерьмище,1748193653,1748193653,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195636006,76561199588735977,0,3,254,254,254,1748188002,english,"do not play, community is horrible, will flame you even if you have just bought the game. Uninstalled within 5 hours of playing. Tutorial is terrible and buggy, and then I get people trying to report me because i'm making mistakes while trying to learn. I never should have even downloaded it.",1748188539,1748188571,False,1,1,0.513888895511627197,0,False,False,False,False
570,Dota 2,195633486,76561198421435844,0,1,102172,1102,101630,1748525534,english,help,1748186321,1748186321,False,0,0,0.5,0,False,False,False,False
570,Dota 2,195630341,76561198312527930,0,2,142484,65,142484,1748188997,english,"My dota 2 app keep crashing and when I relaunch steam, it keep stuck at ""downloading content"" status for my dota 2. And I get banned for 1 hour for no reason. This happened twice to me. This is not funny, it is completely a joke for this punishment mechanism for an innocent player like me.",1748184138,1748184138,False,0,0,0.5,0,False,False,False,False
