게임이름,게임순위,총 평가,긍정적인 평가 비율,출시일,앞서 해보기 출시 일자,app_id
Dota 2,1,2496885,81,"9 Jul, 2013",,570
Black Myth: Wukong,2,834272,96,"20 Aug, 2024",,2358720
Baldur's Gate 3,3,669069,96,"4 Aug, 2023","7 Oct, 2020",1086940
Stardew Valley,4,754862,98,"27 Feb, 2016",,413150
The Witcher 3: Wild Hunt,5,761434,96,"18 May, 2015",,292030
ELDEN RING,6,764551,92,"25 Feb, 2022",,1245620
Cyberpunk 2077,7,747377,85,"10 Dec, 2020",,1091500
Warframe,8,618954,87,"26 Mar, 2013",,230410
Divinity: Original Sin 2 - Definitive Edition,9,165997,95,"14 Sep, 2017",,435150
Vampire Survivors,10,237342,98,"21 Oct, 2022","17 Dec, 2021",1794680
Monster Hunter: World,11,296928,89,"9 Aug, 2018",,582010
Hades,12,258223,98,"17 Sep, 2020","11 Dec, 2019",1145360
Clair Obscur: Expedition 33,13,69286,95,"24 Apr, 2025",,1903340
Undertale,14,242334,96,"15 Sep, 2015",,391540
Persona 5 Royal,15,68280,96,"21 Oct, 2022",,1687950
Project Zomboid,16,284939,94,"8 Nov, 2013",,108600
Persona 3 Reload,17,28726,95,"2 Feb, 2024",,2161700
Slay the Spire,18,157329,97,"24 Jan, 2019",,646570
DARK SOULS™ III,19,262139,94,"12 Apr, 2016",,374320
OMORI,20,72070,97,"25 Dec, 2020",,1150690
Persona 4 Golden,21,65269,97,"14 Jun, 2020",,1113000
Hogwarts Legacy,22,231742,90,"11 Feb, 2023",,990080
God of War,23,110698,96,"15 Jan, 2022",,1593500
Metaphor: ReFantazio,24,19616,91,"11 Oct, 2024",,2679460
DAVE THE DIVER,25,116419,97,"28 Jun, 2023","27 Oct, 2022",1868140
The Elder Scrolls® Online,26,127547,82,"4 Apr, 2014",,306130
Fallout: New Vegas,27,182626,96,"22 Oct, 2010",,22380
Symphony of War: The Nephilim Saga,28,11385,94,"11 Jun, 2022",,1488200
Fallout 4,29,261516,83,"10 Nov, 2015",,377160
ASTLIBRA Revision,30,25740,95,"13 Oct, 2022",,1718570
The Elder Scrolls V: Skyrim Special Edition,31,188887,94,"28 Oct, 2016",,489830
Mount & Blade II: Bannerlord,32,204789,87,"25 Oct, 2022","30 Mar, 2020",261550
Caves of Qud,33,9702,95,"6 Dec, 2024","15 Jul, 2015",333640
FINAL FANTASY VII REMAKE INTERGRADE,34,31358,88,"17 Jun, 2022",,1462040
TROUBLESHOOTER: Abandoned Children,35,8807,94,"23 Apr, 2020",,470310
Disco Elysium - The Final Cut,36,101354,93,"16 Oct, 2019",,632470
Assassin's Creed® Odyssey,37,156204,89,"6 Oct, 2018",,812140
Touhou Mystia's Izakaya,38,24374,98,"1 Oct, 2021","16 Jun, 2021",1584090
Our Adventurer Guild,39,1739,96,"13 Apr, 2024","31 May, 2023",2026000
STAR WARS™: The Old Republic™,40,67615,89,"20 Dec, 2011",,1286830
Volcano Princess,41,38779,97,"21 Apr, 2023",,1669980
Dark Deity 2,42,963,94,"24 Mar, 2025",,2446600
Darkest Dungeon®,43,129394,91,"19 Jan, 2016",,262060
Grim Dawn,44,83711,93,"26 Feb, 2016",,219990
Assassin's Creed® Origins,45,104586,85,"27 Oct, 2017",,582160
LISA: The Painful,46,12738,95,"15 Dec, 2014",,335670
荣耀斗罗,47,209,93,"19 Nov, 2021",,1786760
Super Robot Wars 30,48,5277,86,"28 Oct, 2021",,898750
Drova - Forsaken Kin,49,6666,95,"15 Oct, 2024",,1585180
Borderlands 2,50,197184,94,"20 Sep, 2012",,49520
NieR:Automata™,51,103894,88,"18 Mar, 2017",,524220
Gumballs & Dungeons,52,987,95,"5 Mar, 2025",,3112010
Mount & Blade: Warband,53,130797,97,"31 Mar, 2010",,48700
Shattered Pixel Dungeon,54,1520,95,"24 Mar, 2022",,1769170
Wartales,55,26624,89,"12 Apr, 2023","2 Dec, 2021",1527950
DARK SOULS™: REMASTERED,56,83294,91,"24 May, 2018",,570940
Legend of Heroes: Three Kingdoms,57,4430,89,"26 Mar, 2025","26 Mar, 2025",3020510
Those Who Rule,58,504,90,"27 Jan, 2025",,1822060
SUPER ROBOT WARS X,59,1772,88,"10 Jan, 2020",,1031510
Hades II,60,59913,94,"7 May, 2024","7 May, 2024",1145350
"Warhammer 40,000: Rogue Trader",61,21518,84,"8 Dec, 2023",,2186680
One Way Heroics,62,3422,94,"1 Mar, 2014",,266210
Realm of the Mad God Exalt,63,46592,83,"21 Feb, 2012",,200210
Limbus Company,64,62197,83,"27 Feb, 2023",,1973530
Enshrouded,65,69548,86,"24 Jan, 2024","24 Jan, 2024",1203620
Guild Saga: Vanished Worlds,66,211,85,"11 Oct, 2024","11 Oct, 2024",2184350
King Arthur: Knight's Tale,67,6082,83,"27 Apr, 2022","26 Jan, 2021",1157390
MONSTER HUNTER RISE,68,70796,83,"13 Jan, 2022",,1446780
Kingdom Come: Deliverance,69,123495,83,"13 Feb, 2018",,379430
The Elder Scrolls IV: Oblivion® Game of the Year Edition (2009),70,40796,95,"11 Sep, 2007",,22330
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,71,8647,93,"5 Dec, 2020",,1295510
Halls of Torment,72,27972,95,"24 Sep, 2024","24 May, 2023",2218750
To the Moon,73,63528,96,"1 Nov, 2011",,206440
Kingdom Come: Deliverance II,74,75689,93,"5 Feb, 2025",,1771300
Warhammer: Vermintide 2,75,85267,84,"8 Mar, 2018",,552500
Trove,76,92371,80,"9 Jul, 2015",,304050
Gunfire Reborn,77,84900,93,"18 Nov, 2021","5 May, 2020",1217060
CODE VEIN,78,42505,84,"27 Sep, 2019",,678960
The Hungry Lamb: Traveling in the Late Ming Dynasty,79,43716,96,"23 Apr, 2024",,2593370
Feign,80,4172,91,"23 Oct, 2021","23 Oct, 2021",1436990
Crusader Kings III,81,80204,91,"2 Sep, 2020",,1158310
Dawnsbury Days,82,553,98,"9 Mar, 2024",,2693730
Caves of Lore,83,336,94,"21 Jan, 2023",,2227130
ENDER MAGNOLIA: Bloom in the Mist,84,12453,95,"22 Jan, 2025","25 Mar, 2024",2725260
Wildermyth,85,15673,95,"16 Jun, 2021","14 Nov, 2019",763890
Borderlands 3,86,115880,84,"13 Mar, 2020",,397540
Elin,87,5928,93,"1 Nov, 2024","1 Nov, 2024",2135150
TRIANGLE STRATEGY,88,2555,80,"14 Oct, 2022",,1850510
Middle-earth™: Shadow of War™,89,80403,88,"10 Oct, 2017",,356190
FANTASY LIFE i: The Girl Who Steals Time,90,4967,92,"21 May, 2025",,2993780
Mass Effect™ Legendary Edition,91,51825,91,"15 May, 2021",,1328670
Cyber Knights: Flashpoint,92,862,95,"17 Oct, 2023","17 Oct, 2023",1021210
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,93,1368,95,"6 Mar, 2025",,1932640
Granblue Fantasy: Relink,94,35547,89,"1 Feb, 2024",,881020
Sea of Stars,95,9908,88,"29 Aug, 2023",,1244090
Bastion,96,27548,95,"17 Aug, 2011",,107100
Yakuza 0,97,58476,95,"1 Aug, 2018",,638970
Age of Wonders 4,98,13372,82,"3 May, 2023",,1669000
For The King,99,29365,87,"20 Apr, 2018",,527230
DREDGE,100,36877,95,"31 Mar, 2023",,1562430
Kenshi,101,82366,95,"7 Dec, 2018",,233860
Disgaea 4 Complete+,102,691,89,"11 Sep, 2020",,1233880
Marvel's Midnight Suns,103,15068,82,"2 Dec, 2022",,368260
Mondealy: Day One,104,665,95,"14 Sep, 2021",,1591570
Tactical Breach Wizards,105,9015,98,"23 Aug, 2024",,1043810
Guild Wars 2,106,21457,88,"24 Aug, 2022",,1284210
Disgaea 2 PC,107,1397,91,"31 Jan, 2017",,495280
Geneforge 2 - Infestation,108,108,98,"27 Mar, 2024",,2480560
