게임이름,게임순위,총 평가,긍정적인 평가 비율,출시일,앞서 해보기 출시 일자,app_id
Clair Obscur: Expedition 33,1,69362,95,"24 Apr, 2025",,1903340
FANTASY LIFE i: The Girl Who Steals Time,2,4982,92,"21 May, 2025",,2993780
Limbus Company,3,62228,83,"27 Feb, 2023",,1973530
Monster Hunter Wilds,4,132058,62,"28 Feb, 2025",,2246340
Hero's Land,5,43720,55,"18 May, 2023",,2349820
Warframe,6,618962,87,"26 Mar, 2013",,230410
ELDEN RING,7,764562,92,"25 Feb, 2022",,1245620
Metaphor: ReFantazio,8,19616,91,"11 Oct, 2024",,2679460
The First Descendant,9,103188,56,"30 Jun, 2024",,2074920
Last Epoch,10,99037,79,"22 Feb, 2024","1 May, 2019",899770
Enshrouded,11,69554,86,"24 Jan, 2024","24 Jan, 2024",1203620
Baldur's Gate 3,12,669078,96,"4 Aug, 2023","7 Oct, 2020",1086940
Project Zomboid,13,284954,94,"8 Nov, 2013",,108600
Wuthering Waves,14,11436,89,"29 Apr, 2025",,3513350
ELDEN RING NIGHTREIGN,15,0,0,"30 May, 2025",,2622380
Dota 2,16,2496936,81,"10 Jul, 2013",,570
Stardew Valley,17,754870,98,"27 Feb, 2016",,413150
Tom Clancy’s The Division® 2,18,19535,77,"13 Jan, 2023",,2221490
Sultan's Game,19,15113,93,"31 Mar, 2025",,3117820
The First Berserker: Khazan,20,11559,89,"28 Mar, 2025",,2680010
Torchlight: Infinite,21,15430,70,"10 May, 2023","11 Oct, 2022",1974050
Assassin’s Creed Shadows,22,19144,79,"20 Mar, 2025",,3159330
Cyberpunk 2077,23,747402,85,"10 Dec, 2020",,1091500
Tower of Babel: Survivors of Chaos,24,2142,65,"20 May, 2025","20 May, 2025",2665680
REMNANT II®,25,40781,83,"26 Jul, 2023",,1282100
Black Myth: Wukong,26,834285,96,"20 Aug, 2024",,2358720
The Elder Scrolls IV: Oblivion Remastered,27,44172,81,"23 Apr, 2025",,2623190
Kingdom Come: Deliverance II,28,75696,93,"5 Feb, 2025",,1771300
Cyberpunk 2077: Phantom Liberty,29,18516,90,"26 Sep, 2023",,2138330
Snowbreak: Containment Zone,30,7575,77,"25 Dec, 2023",,2668080
Tinkerlands,31,559,83,"24 May, 2025","24 May, 2025",2617700
Crusader Kings III,32,80203,91,"2 Sep, 2020",,1158310
9 Kings,33,2577,93,"23 May, 2025","23 May, 2025",2784470
ELDEN RING Shadow of the Erdtree,34,80604,71,"21 Jun, 2024",,2778580
Albion Online,35,82886,78,"17 Jul, 2017",,761890
Jotunnslayer: Hordes of Hel,36,3734,82,"21 Jan, 2025","21 Jan, 2025",2820820
Diablo® IV,37,36150,71,"18 Oct, 2023",,2344520
DRAGON QUEST III HD-2D Remake,38,2942,71,"15 Nov, 2024",,2701660
"Warhammer 40,000: Rogue Trader",39,21521,84,"8 Dec, 2023",,2186680
GIRLS' FRONTLINE 2: EXILIUM,40,1497,70,"11 Feb, 2025",,3308670
Monster Hunter: World,41,296931,89,"9 Aug, 2018",,582010
DYNASTY WARRIORS: ORIGINS,42,13914,92,"17 Jan, 2025",,2384580
Legend of Heroes: Three Kingdoms,43,4429,89,"26 Mar, 2025","26 Mar, 2025",3020510
Slay the Spire,44,157335,97,"24 Jan, 2019",,646570
Vampire Survivors,45,237344,98,"21 Oct, 2022","17 Dec, 2021",1794680
Ravenswatch,46,11823,80,"27 Sep, 2024","7 Apr, 2023",2071280
Persona 3 Reload,47,28726,95,"2 Feb, 2024",,2161700
Soulworker : Your Destiny Awaits,48,2637,65,"17 Mar, 2022",,1825750
DAVE THE DIVER,49,116419,97,"28 Jun, 2023","27 Oct, 2022",1868140
Age of Wonders 4,50,13373,82,"3 May, 2023",,1669000
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,51,8647,93,"5 Dec, 2020",,1295510
S.T.A.L.K.E.R. 2: Heart of Chornobyl,52,85945,81,"21 Nov, 2024",,1643320
Dinkum,53,20663,93,"23 Apr, 2025","14 Jul, 2022",1062520
Darkest Dungeon®,54,129396,91,"19 Jan, 2016",,262060
Tree of Savior (Korean Ver.),55,422,48,"26 Dec, 2022",,2178420
Wartales,56,26624,89,"12 Apr, 2023","2 Dec, 2021",1527950
Attack on Titan 2 - A.O.T.2,57,6238,93,"27 Apr, 2023",,601050
Super Robot Wars 30,58,5277,86,"28 Oct, 2021",,898750
Hades II,59,59914,94,"7 May, 2024","7 May, 2024",1145350
The Elder Scrolls® Online,60,127548,82,"4 Apr, 2014",,306130
Battle for Brooklyn DLC - Tom Clancy's The Division 2,61,37,54,"27 May, 2025",,3572140
UNLIGHT:Revive,62,1409,53,"7 Dec, 2024",,3247080
Garden of Witches,63,328,96,"23 May, 2025","23 May, 2025",2530470
Assassin's Creed Valhalla,64,28621,70,"7 Dec, 2022",,2208920
Legend of Mortal,65,28558,71,"14 Jun, 2024",,1859910
Last Epoch - Woven Legend Supporter Pack,66,292,99,"17 Apr, 2025",,3512600
Fallout 76,67,66164,75,"15 Apr, 2020",,1151340
My Time at Sandrock,68,22133,88,"2 Nov, 2023","26 May, 2022",1084600
FINAL FANTASY VII REMAKE INTERGRADE,69,31358,88,"17 Jun, 2022",,1462040
Survive the Fall,70,236,71,"23 May, 2025",,1579340
Touhou Mystia's Izakaya,71,24377,98,"1 Oct, 2021","16 Jun, 2021",1584090
Assassin's Creed® Origins,72,104589,85,"27 Oct, 2017",,582160
